Experiment,Time,TR_u_IPTG,TR_u_aTc,READOUT_RFP_o,READOUT_GFP_o,STD_RFP_o,STD_GFP_o
1,419.933333333333,1,1e-06,141.136677786844,1257.12449286759,NaN,NaN
1,424.933333333333,1e-06,100,139.727321891625,1262.27897910291,NaN,NaN
1,429.95,1e-06,100,146.516012735592,1263.25092171518,NaN,NaN
1,434.933333333333,1e-06,100,154.639317271351,1255.36787482281,NaN,NaN
1,439.95,1e-06,100,163.136615243309,1237.7750467531,NaN,NaN
1,444.95,1e-06,100,171.970483605821,1210.379614029,NaN,NaN
1,449.933333333333,1e-06,100,181.429190445799,1173.68903708481,NaN,NaN
1,454.95,1e-06,100,192.051861402072,1128.35022557779,NaN,NaN
1,459.933333333333,1e-06,100,204.263660552204,1076.54381883287,NaN,NaN
1,464.933333333333,1e-06,100,218.884115880966,1019.67079428766,NaN,NaN
1,469.95,1e-06,100,236.800376249392,959.636813793965,NaN,NaN
1,474.933333333333,1e-06,100,258.835679795853,898.839920464106,NaN,NaN
1,479.933333333333,1e-06,100,286.365125747348,838.178110347077,NaN,NaN
1,484.933333333333,1e-06,100,320.619940575328,779.018438559694,NaN,NaN
1,489.933333333333,1e-06,100,362.940267402337,722.190731676028,NaN,NaN
1,495.066666666667,1e-06,100,416.099260134654,666.834324532088,NaN,NaN
1,499.933333333333,1e-06,100,476.562585656216,617.436958324934,NaN,NaN
1,504.933333333333,1e-06,100,549.456922794879,569.928689837069,NaN,NaN
1,509.933333333333,1e-06,100,633.266473550259,525.699065172621,NaN,NaN
1,515,1e-06,100,728.646214408762,484.131375563606,NaN,NaN
1,519.933333333333,1e-06,100,830.342069077401,446.663020743707,NaN,NaN
1,524.933333333333,1e-06,100,940.503319661331,411.54581948372,NaN,NaN
1,529.933333333333,1e-06,100,1055.70275902856,379.124483061112,NaN,NaN
1,534.95,1e-06,100,1174.14419771367,349.119536277103,NaN,NaN
1,539.933333333333,1e-06,100,1292.55777373166,321.638241060107,NaN,NaN
1,544.983333333333,1e-06,100,1411.46141127343,295.977314350007,NaN,NaN
1,549.933333333333,1e-06,100,1525.44294824209,272.800897068895,NaN,NaN
1,554.933333333333,1e-06,100,1636.82471318415,251.224632008827,NaN,NaN
1,559.933333333333,1e-06,100,1743.58477041943,231.349784382045,NaN,NaN
1,564.933333333333,1e-06,100,1845.15056639018,213.043926495399,NaN,NaN
1,569.933333333333,1e-06,100,1941.1846339826,196.184359473626,NaN,NaN
1,574.933333333333,1e-06,100,2031.53637361491,180.657596306359,NaN,NaN
1,579.933333333333,1e-06,100,2116.19821080281,166.358803962342,NaN,NaN
1,584.933333333333,1e-06,100,2195.26807485824,153.191224425832,NaN,NaN
1,589.933333333333,1e-06,100,2268.91873451466,141.065608225281,NaN,NaN
1,594.933333333333,1e-06,100,2337.37353710888,129.899669862008,NaN,NaN
1,599.933333333333,1e-06,100,2400.887674449,119.617569569608,NaN,NaN
1,605.116666666667,1e-06,100,2461.80667511875,109.816879237704,NaN,NaN
1,609.933333333333,1e-06,100,2514.19297413178,101.430844993726,NaN,NaN
1,615.033333333333,1e-06,100,2565.511382505,93.2486236885577,NaN,NaN
1,619.95,1e-06,100,2611.21160570999,85.986220554611,NaN,NaN
1,624.933333333333,1e-06,100,2654.01314682213,79.2025105852316,NaN,NaN
1,629.95,1e-06,100,2693.77641580734,72.9141169061058,NaN,NaN
1,635.033333333333,1e-06,100,2730.91418614355,67.0514791111902,NaN,NaN
1,640.016666666667,1e-06,100,2764.46867945768,61.7622165705475,NaN,NaN
1,644.933333333333,1e-06,100,2795.01348400761,56.9529910010864,NaN,NaN
1,649.933333333333,1e-06,100,2823.66362153847,52.4463708597299,NaN,NaN
1,654.933333333333,1e-06,100,2850.0658408069,48.2965942744545,NaN,NaN
1,659.933333333333,1e-06,100,2874.39296279382,44.4754068940813,NaN,NaN
1,664.933333333333,1e-06,100,2896.80541417894,40.9567911513502,NaN,NaN
1,669.916666666667,1e-06,100,2917.3858444762,37.727151380256,NaN,NaN
1,674.933333333333,1e-06,100,2936.47002997089,34.7333403755895,NaN,NaN
1,679.933333333333,1e-06,100,2953.98713493613,31.9861301426769,NaN,NaN
1,684.933333333333,1e-06,100,2970.12082738394,29.4564527617883,NaN,NaN
1,689.933333333333,1e-06,100,2984.97972633768,27.1270834984153,NaN,NaN
1,694.933333333333,1e-06,100,2998.66408130627,24.9821614663714,NaN,NaN
1,699.933333333333,1e-06,100,3011.26637735146,23.0070816462305,NaN,NaN
1,704.933333333333,1e-06,100,3022.87190657113,21.1883954560012,NaN,NaN
1,709.933333333333,1e-06,100,3033.55930513453,19.513719189775,NaN,NaN
1,714.95,1e-06,100,3043.43252372347,17.9667192560461,NaN,NaN
1,719.933333333333,1e-06,100,3052.46395731259,16.5516867788211,NaN,NaN
1,724.95,1e-06,100,3060.83624356332,15.2399810835395,NaN,NaN
1,729.966666666667,1e-06,100,3068.54370718683,14.0324730870891,NaN,NaN
2,0,0.8,20,14.8601,2093.26,NaN,NaN
2,5.05,0.8,20,23.7411510449308,2050.8662953435,NaN,NaN
2,10.05,0.8,20,32.1562133849773,2009.91394414965,NaN,NaN
2,15.05,0.8,20,40.1056420693727,1970.11479258143,NaN,NaN
2,20.05,0.8,20,47.5983991988798,1931.5961641598,NaN,NaN
2,25.05,0.8,20,54.6618551255841,1894.45890313164,NaN,NaN
2,30.05,0.8,20,61.3286071058972,1858.77260282428,NaN,NaN
2,35.05,0.8,20,67.6320107123687,1824.57683251619,NaN,NaN
2,40.05,0.8,20,73.6043120163271,1791.88515519781,NaN,NaN
2,45.05,0.8,20,79.2758189704798,1760.69001062576,NaN,NaN
2,50.05,0.8,20,84.6745576886088,1730.96745143683,NaN,NaN
2,55.05,0.8,20,89.8261741635272,1702.68129450207,NaN,NaN
2,60.0666666666667,0.8,20,94.7700411952462,1675.69918396877,NaN,NaN
2,65.05,0.8,20,99.4789779169321,1650.232239784,NaN,NaN
2,70.05,0.8,20,104.02014123101,1625.96344241179,NaN,NaN
2,75.05,0.8,20,108.394416367005,1602.92308516995,NaN,NaN
2,80.05,0.8,20,112.616949630823,1581.05316140451,NaN,NaN
2,85.05,0.8,20,116.701227130823,1560.29569994493,NaN,NaN
2,90.05,0.8,20,120.659217020083,1540.59350429518,NaN,NaN
2,95.05,0.8,20,124.501513750796,1521.89067525856,NaN,NaN
2,100.05,0.8,20,128.237473524243,1504.13298026948,NaN,NaN
2,105.05,0.8,20,131.875337754346,1487.26813052316,NaN,NaN
2,110.05,0.8,20,135.422346953643,1471.24597081485,NaN,NaN
2,115.05,0.8,20,138.884851232549,1456.0185791293,NaN,NaN
2,120.05,0.8,20,142.268408565303,1441.54033005473,NaN,NaN
2,125.05,0.8,20,145.577877773394,1427.76789942024,NaN,NaN
2,130.05,0.8,20,148.817499685646,1414.66026145288,NaN,NaN
2,135.05,0.8,20,151.990974146115,1402.17863985488,NaN,NaN
2,140.05,0.8,20,155.101526994422,1390.28646141249,NaN,NaN
2,145.05,0.8,20,158.151972816263,1378.94927439917,NaN,NaN
2,150.05,0.8,20,161.144770045259,1368.13466707585,NaN,NaN
2,155.05,0.8,20,164.082069478667,1357.81218699985,NaN,NaN
2,160.05,0.8,20,166.965756482681,1347.9532706045,NaN,NaN
2,165.05,0.8,20,169.79749276178,1338.53110173572,NaN,NaN
2,170.05,0.8,20,172.578748559933,1329.52054407623,NaN,NaN
2,175.05,0.8,20,175.310831392262,1320.89806188877,NaN,NaN
2,180.05,0.25,75,177.994912655959,1312.64161396398,NaN,NaN
2,185.05,0.25,75,181.412648398561,1301.98430884956,NaN,NaN
2,190.05,0.25,75,185.636730700834,1286.54651487369,NaN,NaN
2,195.05,0.25,75,190.326525813303,1267.11860294799,NaN,NaN
2,200.05,0.25,75,195.428628291206,1244.65036123318,NaN,NaN
2,205.05,0.25,75,200.968693148861,1220.09339999693,NaN,NaN
2,210.05,0.25,75,206.996971992089,1194.28815472959,NaN,NaN
2,215.05,0.25,75,213.568598106947,1167.90702316792,NaN,NaN
2,220.05,0.25,75,220.736168382202,1141.44504376504,NaN,NaN
2,225.05,0.25,75,228.547541395772,1115.23960845951,NaN,NaN
2,230.05,0.25,75,237.045967930442,1089.50211394376,NaN,NaN
2,235.05,0.25,75,246.271212499847,1064.35047867453,NaN,NaN
2,240.05,0.25,75,256.261009606585,1039.83718637947,NaN,NaN
2,245.05,0.25,75,267.052533591449,1015.97125510493,NaN,NaN
2,250.05,0.25,75,278.683737346979,992.734408360919,NaN,NaN
2,255.05,0.25,75,291.194501420664,970.092493884607,NaN,NaN
2,260.05,0.25,75,304.627583035661,948.003253563443,NaN,NaN
2,265.05,0.25,75,319.029366883234,926.421453992603,NaN,NaN
2,270.05,0.25,75,334.450441634875,905.302156601413,NaN,NaN
2,275.05,0.25,75,350.946008663169,884.602718239351,NaN,NaN
2,280.05,0.25,75,368.576135094047,864.283939364409,NaN,NaN
2,285.05,0.25,75,387.405855619379,844.310656343247,NaN,NaN
2,290.05,0.25,75,407.505119477116,824.65198022305,NaN,NaN
2,295.066666666667,0.25,75,429.022386008794,805.217205143159,NaN,NaN
2,300.05,0.25,75,451.815161060999,786.176269747313,NaN,NaN
2,305.05,0.25,75,476.187526970743,767.318449211512,NaN,NaN
